community;code;lat;long;facilitated_species;nurse;n;canopy_percent;gap_percent;site;Axis1;Axis2;Axis3;genus;sp;sub_sp;recruit_sp;centroid_pca1;centroid_pca2;mode_pca1;mode_pca2;centroid_dist2d;mode_dist2d
3;SNEV03;37.077306;-3.481778;Arenaria_armerina_armerina;open;2;34.9;65.1;Sierra Nevada, high-elevation dolomites (Trevenque 3)  ;-0.941475862541194;1.83692162050064;-1.28419644582938;Arenaria;armerina;armerina;Arenaria armerina;-0.262174976;1.473974066;-0.284848952;1.454193925;0.770182200374462;0.760025913078038
3;SNEV03;37.077306;-3.481778;Erinacea_anthyllis_anthyllis;open;3;34.9;65.1;Sierra Nevada, high-elevation dolomites (Trevenque 3)  ;-0.941475862541194;1.83692162050064;-1.28419644582938;Erinacea;anthyllis;anthyllis;Erinacea anthyllis;0.200162506;1.35109412;0.398461337;1.349144512;1.24071210390167;1.42595869726004
3;SNEV03;37.077306;-3.481778;Fumana_ericoides;open;1;34.9;65.1;Sierra Nevada, high-elevation dolomites (Trevenque 3)  ;-0.941475862541194;1.83692162050064;-1.28419644582938;Fumana;ericoides;NA;Fumana ericoides;1.763155336;1.619939741;1.842470343;1.557243719;2.71332103816596;2.79795929275874
3;SNEV03;37.077306;-3.481778;Dianthus_brachyanthus;open;7;34.9;65.1;Sierra Nevada, high-elevation dolomites (Trevenque 3)  ;-0.941475862541194;1.83692162050064;-1.28419644582938;Dianthus;brachyanthus;NA;Dianthus brachyanthus;-0.083611667;1.868531169;-0.163771577;1.860333081;0.858446353331338;0.77805658678007
3;SNEV03;37.077306;-3.481778;Ononis_pusilla_pusilla;open;4;34.9;65.1;Sierra Nevada, high-elevation dolomites (Trevenque 3)  ;-0.941475862541194;1.83692162050064;-1.28419644582938;Ononis;pusilla;pusilla;Ononis pusilla;-1.584456817;0.483275319;-1.594898787;0.484233748;1.49859361314638;1.50224032651857
3;SNEV03;37.077306;-3.481778;Thymus_granatensis_granatensis;open;0;34.9;65.1;Sierra Nevada, high-elevation dolomites (Trevenque 3)  ;-0.941475862541194;1.83692162050064;-1.28419644582938;Thymus;granatensis;granatensis;Thymus granatensis;0.648942546;0.947525499;0.664617767;0.912359501;1.82221189085328;1.85320043699227
3;SNEV03;37.077306;-3.481778;Linum_suffruticosum;open;1;34.9;65.1;Sierra Nevada, high-elevation dolomites (Trevenque 3)  ;-0.941475862541194;1.83692162050064;-1.28419644582938;Linum;suffruticosum;NA;Linum suffruticosum;1.301749366;1.909036229;1.279943854;1.875647103;2.24438408983906;2.22175723697094
4;SNEV04;37.02325;-3.008972;Genista_umbellata_equisetiformis;open;12;59.86;40.14;Sierra Nevada, low-elevation mica schists (Ragua 1)  ;0.93439238947851;2.00597599444708;0.17592925251597;Genista;umbellata;equisetiformis;Genista umbellata;3.257304549;0.031745985;3.232227947;0.033447926;3.04852505829528;3.02835189999803
4;SNEV04;37.02325;-3.008972;Ulex_parviflorus_parviflorus;open;4;59.86;40.14;Sierra Nevada, low-elevation mica schists (Ragua 1)  ;0.93439238947851;2.00597599444708;0.17592925251597;Ulex;parviflorus;parviflorus;Ulex parviflorus;1.620235348;1.110794103;1.438859605;1.014676119;1.12771059342736;1.11227811926577
4;SNEV04;37.02325;-3.008972;Lavandula_stoechas;open;10;59.86;40.14;Sierra Nevada, low-elevation mica schists (Ragua 1)  ;0.93439238947851;2.00597599444708;0.17592925251597;Lavandula;stoechas;NA;Lavandula stoechas;1.046660457;1.657193394;0.836099001;1.898421958;0.366406088049365;0.145703332064328
